Case #,Task Description,Code Solution,Score
950,Write a function to display sign of the chinese zodiac for given year.,"
def chinese_zodiac(year):
    signs = ['Dragon', 'Snake', 'Horse', 'sheep', 'Monkey', 'Rooster', 'Dog', 'Pig', 'Rat', 'Ox', 'Tiger', 'Hare']
    return signs[(year - 2000) % 12]
",100.0
5,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,"
def count_ways(n):
    if n % 2 != 0:
        return 0
    A = [0] * (n + 1)
    B = [0] * (n + 1)
    A[0] = 1
    A[1] = 0
    B[0] = 0
    B[1] = 1
    for i in range(2, n + 1):
        A[i] = A[i - 2] + 2 * B[i - 1]
        B[i] = A[i - 1] + B[i - 2]
    return A[n]
",100.0
6,Write a python function to check whether the two numbers differ at one bit position only or not.,"
def is_Power_Of_Two(x):
    return x and (not(x & (x - 1)))

def differ_At_One_Bit_Pos(a, b):
    return is_Power_Of_Two(a ^ b)
",100.0
7,Write a function to find all words which are at least 4 characters long in a string by using regex.,"
import re

def find_char_long(text):
    return re.findall(r""\b\w{4,}\b"", text)
",100.0
8,Write a function to find squares of individual elements in a list using lambda function.,"
def square_nums(nums):
    square_nums = list(map(lambda x: x ** 2, nums))
    return square_nums
",100.0
2,Write a function to find the similar elements from the given two tuple lists.,"
def similar_elements(test_tup1, test_tup2):
    res = tuple(sorted(set(test_tup1) & set(test_tup2)))
    return res
",100.0
3,Write a python function to identify non-prime numbers.,"
import math

def is_not_prime(n):
    if n <= 1:
        return True
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return True
    return False
",100.0
4,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,"
import heapq as hq

def heap_queue_largest(nums, n):
    largest_nums = hq.nlargest(n, nums)
    return largest_nums
",100.0
9,Write a python function to find the minimum number of rotations required to get the same string.,"
def find_Rotations(s):
    tmp = s + s
    n = len(s) 
    for i in range(1, n + 1): 
        substring = tmp[i: i + n] 
        if s == substring: 
            return i 
    return n
",100.0
10,Write a function to get the n smallest items from a dataset.,"
import heapq

def small_nnum(list1, n):
    smallest = heapq.nsmallest(n, list1)
    return smallest
",100.0
11,Write a python function to remove first and last occurrence of a given character from the string.,"
def remove_Occ(s, ch):
    first_occ = False
    last_occ = False
    for i in range(len(s)):
        if s[i] == ch and not first_occ:
            s = s[:i] + s[i+1:]
            first_occ = True
            break
    for i in range(len(s) - 1, -1, -1):
        if s[i] == ch and not last_occ:
            s = s[:i] + s[i+1:]
            last_occ = True
            break
    return s
",100.0
953,Write a python function to find the minimun number of subsets with distinct elements.,"
def subset(ar, n): 
    res = 0
    ar.sort()
    i = 0
    
    while i < n:
        count = 1
        while i < n - 1 and ar[i] == ar[i + 1]:
            count += 1
            i += 1
        res = max(res, count)
        i += 1
    
    return res

assert subset([1, 2, 3, 4], 4) == 1
assert subset([5, 6, 9, 3, 4, 3, 4], 7) == 2
assert subset([1, 2, 3], 3) == 1
",100.0
961,Write a function to convert a roman numeral to an integer.,"
def roman_to_int(s):
    rom_val = {'I': 1, 'V': 5, 'X': 10, 'L': 50, 'C': 100, 'D': 500, 'M': 1000}
    int_val = 0
    for i in range(len(s)):
        if i > 0 and rom_val[s[i]] > rom_val[s[i - 1]]:
            int_val += rom_val[s[i]] - 2 * rom_val[s[i - 1]]
        else:
            int_val += rom_val[s[i]]
    return int_val
",100.0
13,Write a function to count the most common words in a dictionary.,"
from collections import Counter

def count_common(words):
    word_counts = Counter(words)
    top_four = word_counts.most_common(4)
    return top_four
",100.0
14,Write a python function to find the volume of a triangular prism.,"
def find_Volume(l, b, h):
    return (l * b * h) / 2

assert find_Volume(10, 8, 6) == 240
assert find_Volume(3, 2, 2) == 6
assert find_Volume(1, 2, 1) == 1
",100.0
15,Write a function to split a string at lowercase letters.,"
import re
def split_lowerstring(text):
    return re.findall('[a-z][^a-z]*', text)
",100.0
16,Write a function to find sequences of lowercase letters joined with an underscore.,"
import re

def text_lowercase_underscore(text):
    patterns = '^[a-z]+_[a-z]+$'
    if re.search(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'
",100.0
17,Write a function to find the perimeter of a square.,"
def square_perimeter(a):
  perimeter = 4 * a
  return perimeter
",100.0
19,Write a function to find whether a given array of integers contains any duplicate element.,"
def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)
",100.0
20,Write a function to check if the given number is woodball or not.,"
def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x // 2
		p = p + 1
		if (p == x): 
			return True
	return False
",100.0
21,Write a function to find m number of multiples of n.,"
def multiples_of_num(m, n):
    multiples_of_num = list(range(n, (m + 1) * n, n))
    return multiples_of_num
",100.0
49,Write a function to extract every first or specified element from a given two-dimensional list.,"
def specified_element(nums, N):
    result = [i[N] for i in nums]
    return result
",100.0
601,Write a function to find the longest chain which can be formed from the given set of pairs.,"class Pair(object): 
	def __init__(self, a, b): 
		self.a = a 
		self.b = b 
def max_chain_length(arr, n): 
	max = 0
	mcl = [1 for i in range(n)] 
	for i in range(1, n): 
		for j in range(0, i): 
			if (arr[i].a > arr[j].b and
				mcl[i] < mcl[j] + 1): 
				mcl[i] = mcl[j] + 1
	for i in range(n): 
		if (max < mcl[i]): 
			max = mcl[i] 
	return max",0.0
23,Write a python function to find the maximum sum of elements of list in a list of lists.,"
def maximum_Sum(list1):
    return max(sum(x) for x in list1)
",100.0
24,Write a function to convert the given binary number to its decimal equivalent.,"
def binary_to_decimal(binary): 
    decimal, i = 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary // 10
        i += 1
    return decimal
",100.0
25,Write a python function to find the product of non-repeated elements in a given array.,"
def find_Product(arr, n):
    unique_elements = set(arr)
    prod = 1
    for elem in unique_elements:
        prod *= elem
    return prod
",100.0
26,Write a function to check if the given tuple list has all k elements.,"
def check_k_elements(test_list, K):
    for tup in test_list:
        for ele in tup:
            if ele != K:
                return False
    return True
",100.0
27,Write a python function to remove all digits from a list of strings.,"
import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list
",100.0
28,Write a python function to find binomial co-efficient.,"
def binomial_Coeff(n, k): 
    if k > n : 
        return 0
    if k == 0 or k == n: 
        return 1
    return binomial_Coeff(n - 1, k - 1) + binomial_Coeff(n - 1, k)
",100.0
29,Write a python function to find the element occurring odd number of times.,"
def get_Odd_Occurrence(arr, arr_size):
    result = 0
    for i in range(arr_size):
        result ^= arr[i]
    return result

assert get_Odd_Occurrence([1,2,3,1,2,3,1],7) == 1
assert get_Odd_Occurrence([1,2,3,2,3,1,3],7) == 3
assert get_Odd_Occurrence([2,3,5,4,5,2,4,3,5,2,4,4,2],13) == 5
",100.0
30,Write a python function to count all the substrings starting and ending with same characters.,"
def count_Substring_With_Equal_Ends(s):
    result = 0
    n = len(s)
    for i in range(n):
        for j in range(i, n):
            if s[i] == s[j]:
                result += 1
    return result
",100.0
50,Write a function to find the list with minimum length using lambda function.,"
def min_length_list(input_list):
    min_length = min(len(x) for x in input_list)
    min_list = min(input_list, key=lambda i: len(i))
    return min_length, min_list
",100.0
51,Write a function to print check if the triangle is equilateral or not.,"
def check_equilateral(x, y, z):
    if x == y == z:
        return True
    else:
        return False
",100.0
834,Write a function to generate a square matrix filled with elements from 1 to n raised to the power of 2 in spiral order.,"def generate_matrix(n):
        if n<=0:
            return [] 
        matrix=[row[:] for row in [[0]*n]*n]        
        row_st=0
        row_ed=n-1        
        col_st=0
        col_ed=n-1
        current=1        
        while (True):
            if current>n*n:
                break
            for c in range (col_st, col_ed+1):
                matrix[row_st][c]=current
                current+=1
            row_st+=1
            for r in range (row_st, row_ed+1):
                matrix[r][col_ed]=current
                current+=1
            col_ed-=1
            for c in range (col_ed, col_st-1, -1):
                matrix[row_ed][c]=current
                current+=1
            row_ed-=1
            for r in range (row_ed, row_st-1, -1):
                matrix[r][col_st]=current
                current+=1
            col_st+=1
        return matrix",0.0
32,Write a python function to find the largest prime factor of a given number.,"
import math 

def max_Prime_Factors(n): 
    maxPrime = -1 
    while n % 2 == 0: 
        maxPrime = 2
        n >>= 1    
    for i in range(3, int(math.sqrt(n)) + 1, 2): 
        while n % i == 0: 
            maxPrime = i 
            n /= i 
    if n > 2: 
        maxPrime = n  
    return int(maxPrime)
",100.0
33,Write a python function to convert a decimal number to binary number.,"
def decimal_To_Binary(N):
    B_Number = 0
    cnt = 0
    while (N != 0):
        rem = N % 2
        c = pow(10, cnt)
        B_Number += rem * c
        N //= 2
        cnt += 1
    return B_Number
",100.0
34,Write a python function to find the missing number in a sorted array.,"
def find_missing(ar, N):
    l = 0
    r = N - 1
    while l <= r:
        mid = (l + r) // 2
        if mid + 1 != ar[mid] and (mid == 0 or mid + 1 == ar[mid - 1] + 1):
            return mid + 1
        elif ar[mid] != mid + 1:
            r = mid - 1
        else:
            l = mid + 1
    return -1

assert find_missing([1,2,3,5],4) == 4
assert find_missing([1,3,4,5],4) == 2
assert find_missing([1,2,3,5,6,7],5) == 4
",100.0
35,Write a function to find the n-th rectangular number.,"
def find_rect_num(n):
    return n * (n + 1)
",100.0
36,Write a python function to find the nth digit in the proper fraction of two given numbers.,"
def find_Nth_Digit(p, q, N):
    while N > 0:
        N -= 1
        p *= 10
        res = p // q
        p %= q
    return res
",100.0
37,Write a function to sort a given mixed list of integers and strings.,"
def sort_mixed_list(mixed_list):
    int_part = sorted([i for i in mixed_list if type(i) is int])
    str_part = sorted([i for i in mixed_list if type(i) is str])
    return int_part + str_part
",100.0
38,Write a function to find the division of first even and odd number of a given list.,"
def div_even_odd(list1):
    first_even = next((el for el in list1 if el % 2 == 0), None)
    first_odd = next((el for el in list1 if el % 2 != 0), None)
    return first_even / first_odd if first_even is not None and first_odd is not None else None
",100.0
52,Write a function to caluclate area of a parallelogram.,"
def parallelogram_area(b, h):
    area = b * h
    return area
",100.0
53,Write a python function to check whether the first and last characters of a given string are equal or not.,"
def check_Equality(str):
    if (str[0] == str[-1]):  
        return ""Equal""
    else:  
        return ""Not Equal""
",100.0
912,"Write a function to find ln, m lobb number.","def binomial_coeff(n, k): 
	C = [[0 for j in range(k + 1)] 
			for i in range(n + 1)] 
	for i in range(0, n + 1): 
		for j in range(0, min(i, k) + 1): 
			if (j == 0 or j == i): 
				C[i][j] = 1
			else: 
				C[i][j] = (C[i - 1][j - 1] 
							+ C[i - 1][j]) 
	return C[n][k] 
def lobb_num(n, m): 
	return (((2 * m + 1) *
		binomial_coeff(2 * n, m + n)) 
					/ (m + n + 1))",0.0
40,Write a function to find frequency of the elements in a given list of lists using collections module.,"
from collections import Counter
from itertools import chain

def freq_element(nums):
    result = Counter(chain.from_iterable(nums))
    return dict(result)
",100.0
41,Write a function to filter even numbers using lambda function.,"
def filter_evennumbers(nums):
    even_nums = list(filter(lambda x: x % 2 == 0, nums))
    return even_nums
",100.0
42,Write a python function to find the sum of repeated elements in a given array.,"
def find_Sum(arr, n):
    from collections import Counter
    counter = Counter(arr)
    return sum(x * counter[x] for x in counter if counter[x] > 1)
",100.0
43,Write a function to find sequences of lowercase letters joined with an underscore using regex.,"
import re
def text_match(text):
    patterns = '^[a-z]+_[a-z]+$'
    if re.search(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'
",100.0
44,Write a function that matches a word at the beginning of a string.,"
import re

def text_match_string(text):
    patterns = '^\w+'
    if re.match(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'
",100.0
45,Write a function to find the gcd of the given array elements.,"
def find_gcd(x, y): 
    while(y): 
        x, y = y, x % y 
    return x 

def get_gcd(l):
    gcd = l[0]
    for i in range(1, len(l)):
        gcd = find_gcd(gcd, l[i])
    return gcd
",100.0
46,Write a python function to determine whether all the numbers are different from each other are not.,"
def test_distinct(data):
    return len(data) == len(set(data))
",100.0
47,Write a python function to find the last digit when factorial of a divides factorial of b.,"
def compute_Last_Digit(A, B):
    variable = 1
    if (A == B):
        return 1
    elif ((B - A) >= 5):
        return 0
    else:
        for i in range(A + 1, B + 1):
            variable = (variable * (i % 10)) % 10
        return variable % 10
",100.0
48,Write a python function to set all odd bits of a given number.,"
def odd_bit_set_number(n):
    count = 0
    res = 0
    while n >> count > 0: 
        if count % 2 == 0:
            res |= (1 << count)
        count += 1
    return n | res

assert odd_bit_set_number(10) == 15
assert odd_bit_set_number(20) == 21
assert odd_bit_set_number(30) == 31
",100.0
99,Write a function to convert the given decimal number to its binary equivalent.,"
def decimal_to_binary(n):
    return bin(n).replace(""0b"", """")
",100.0
55,Write a function to find t-nth term of geometric series.,"
import math

def tn_gp(a, n, r):
    tn = a * (math.pow(r, n - 1))
    return tn
",100.0
56,Write a python function to check if a given number is one less than twice its reverse.,"
def rev(num):    
    rev_num = 0
    while num > 0:  
        rev_num = rev_num * 10 + num % 10 
        num = num // 10  
    return rev_num  

def check(n):    
    return 2 * rev(n) == n + 1
",100.0
57,Write a python function to find the largest number that can be formed with the given digits.,"
def find_Max_Num(arr, n):
    arr.sort(reverse=True)
    num = 0
    for digit in arr:
        num = num * 10 + digit
    return num
",100.0
58,Write a python function to check whether the given two integers have opposite sign or not.,"
def opposite_Signs(x, y):
    return (x < 0) != (y < 0)
",100.0
59,Write a function to find the nth octagonal number.,"
def is_octagonal(n): 
    return n * (3 * n - 2)
",100.0
60,Write a function to find the maximum length of the subsequence with difference between adjacent elements for the given array.,"
def max_len_sub(arr, n):
    mls = [1] * n
    for i in range(n):
        for j in range(i):
            if abs(arr[i] - arr[j]) <= 1 and mls[i] < mls[j] + 1:
                mls[i] = mls[j] + 1
    return max(mls)

assert max_len_sub([2, 5, 6, 3, 7, 6, 5, 8], 8) == 5
assert max_len_sub([-2, -1, 5, -1, 4, 0, 3], 7) == 4
assert max_len_sub([9, 11, 13, 15, 18], 5) == 1
",100.0
61,Write a python function to count number of substrings with the sum of digits equal to their length.,"
from collections import defaultdict

def count_Substrings(s, n):
    count, total_sum = 0, 0
    mp = defaultdict(lambda: 0)
    mp[0] += 1
    
    for i in range(n):
        total_sum += ord(s[i]) - ord('0')
        count += mp[total_sum - (i + 1)]
        mp[total_sum - (i + 1)] += 1
        
    return count
",100.0
62,Write a python function to find smallest number in a list.,"
def smallest_num(xs):
    return min(xs)
",100.0
63,Write a function to find the maximum difference between available pairs in the given tuple list.,"
def max_difference(test_list):
    temp = [abs(b - a) for a, b in test_list]
    res = max(temp)
    return res
",100.0
64,Write a function to sort a list of tuples using lambda.,"
def subject_marks(subjectmarks):
    subjectmarks.sort(key=lambda x: x[1])
    return subjectmarks
",100.0
85,Write a function to find the surface area of a sphere.,"
import math
def surfacearea_sphere(r):
    surfacearea = 4 * math.pi * r * r
    return surfacearea
",100.0
66,Write a python function to count positive numbers in a list.,"
def pos_count(lst):
    pos_count = 0
    for num in lst:
        if num > 0:
            pos_count += 1
    return pos_count
",100.0
67,Write a function to find the number of ways to partition a set of bell numbers.,"
def bell_number(n):
    bell = [[0 for i in range(n+1)] for j in range(n+1)]
    bell[0][0] = 1
    for i in range(1, n+1):
        bell[i][0] = bell[i-1][i-1] 
        for j in range(1, i+1):
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1] 
    return bell[n][0]
",100.0
68,Write a python function to check whether the given array is monotonic or not.,"
def is_Monotonic(A):
    return (all(A[i] <= A[i + 1] for i in range(len(A) - 1)) or
            all(A[i] >= A[i + 1] for i in range(len(A) - 1)))
",100.0
69,Write a function to check whether a list contains the given sublist or not.,"
def is_sublist(l, s):
    if not s:
        return True
    if not l:
        return False
    for i in range(len(l) - len(s) + 1):
        if l[i:i+len(s)] == s:
            return True
    return False
",100.0
70,Write a function to find whether all the given tuples have equal length or not.,"
def find_equal_tuple(Input, k):
    for t in Input:
        if len(t) != k:
            return 0
    return 1

def get_equal(Input, k):
    if find_equal_tuple(Input, k) == 1:
        return ""All tuples have same length""
    else:
        return ""All tuples do not have same length""
",100.0
72,Write a python function to check whether the given number can be represented as difference of two squares or not.,"
def dif_Square(n):
    if (n % 4 != 2):
        return True
    return False
",100.0
73,Write a function to split the given string with multiple delimiters by using regex.,"
import re
def multiple_split(text):
    return re.split('; |, |\*|\n', text)
",100.0
86,Write a function to find nth centered hexagonal number.,"
def centered_hexagonal_number(n):
  return 3 * n * (n - 1) + 1
",100.0
75,Write a function to find tuples which have all elements divisible by k from the given list of tuples.,"
def find_tuples(test_list, K):
    res = [sub for sub in test_list if all(ele % K == 0 for ele in sub)]
    return str(res)
",100.0
76,Write a python function to count the number of squares in a rectangle.,"
def count_Squares(m, n):
    if n < m:
        m, n = n, m
    return int(m * (m + 1) * (2 * m + 1) / 6 + (n - m) * m * (m + 1) / 2)
",100.0
77,Write a python function to find the difference between sum of even and odd digits.,"
def is_Diff(n):
    sum_digits = sum((1 if i % 2 == 0 else -1) * int(digit) for i, digit in enumerate(str(n)))
    return sum_digits % 11 == 0
",100.0
78,Write a python function to find number of integers with odd number of set bits.,"
def count_With_Odd_SetBits(n):
    count = 0
    for i in range(1, n + 1):
        if bin(i).count('1') % 2 != 0:
            count += 1
    return count
",100.0
79,Write a python function to check whether the length of the word is odd or not.,"
def word_len(s):
    s = s.split(' ')   
    for word in s:    
        if len(word) % 2 != 0: 
            return True  
    return False
",100.0
80,Write a function to find the nth tetrahedral number.,"
def tetrahedral_number(n):
    return (n * (n + 1) * (n + 2)) / 6
",100.0
81,Write a function to zip the two given tuples.,"
def zip_tuples(test_tup1, test_tup2):
    return [(test_tup1[i], test_tup2[i % len(test_tup2)]) for i in range(len(test_tup1))]
",100.0
82,Write a function to find the volume of a sphere.,"
import math
def volume_sphere(r):
    volume = (4/3) * math.pi * r**3
    return volume
",100.0
83,Write a python function to find the character made by adding all the characters of the given string.,"
def get_Char(strr):  
    summ = 0
    for i in range(len(strr)): 
        summ += (ord(strr[i]) - ord('a') + 1)  
    if (summ % 26 == 0): 
        return 'z' 
    else: 
        summ = summ % 26
        return chr(ord('a') + summ - 1)
",100.0
84,Write a function to find the n-th number in newman conway sequence.,"
def sequence(n):
    if n <= 0:
        return None
    if n == 1 or n == 2:
        return 1
    seq = [0, 1, 1]
    for i in range(3, n + 1):
        seq.append(seq[seq[i-1]] + seq[i-seq[i-1]])
    return seq[n]
",100.0
477,Write a python function to convert the given string to lower case.,"
def is_lower(string):
  return string.lower()
",100.0
88,Write a function to get the frequency of the elements in a list.,"
import collections

def freq_count(list1):
    freq_count = collections.Counter(list1)
    return dict(freq_count)
",100.0
89,Write a function to find the closest smaller number than n.,"
def closest_num(N):
    return N - 1
",100.0
90,Write a python function to find the length of the longest word.,"
def len_log(list1):
    max_len = len(list1[0])
    for i in list1:
        if len(i) > max_len:
            max_len = len(i)
    return max_len
",100.0
91,Write a function to check if a substring is present in a given list of string values.,"
def find_substring(str1, sub_str):
    return any(sub_str in s for s in str1)
",100.0
92,Write a function to check whether the given number is undulating or not.,"
def is_undulating(n):
    if len(n) <= 2:
        return False
    for i in range(2, len(n)):
        if n[i] != n[i % 2]:
            return False
    return True
",100.0
93,Write a function to calculate the value of 'a' to the power 'b'.,"
def power(a, b):
    if b == 0:
        return 1
    elif a == 0:
        return 0
    elif b == 1:
        return a
    else:
        return a * power(a, b - 1)
",100.0
94,Write a function to extract the index minimum value record from the given tuples.,"
from operator import itemgetter 
def index_minimum(test_list):
    res = min(test_list, key=itemgetter(1))[0]
    return res
",100.0
95,Write a python function to find the minimum length of sublist.,"
def Find_Min_Length(lst):  
    minLength = min(len(x) for x in lst)
    return minLength
",100.0
96,Write a python function to find the number of divisors of a given integer.,"
def divisor(n):
    return len([i for i in range(1, n + 1) if n % i == 0])
",100.0
97,Write a function to find frequency count of list of lists.,"
def frequency_lists(list1):
    list1 = [item for sublist in list1 for item in sublist]
    dic_data = {}
    for num in list1:
        if num in dic_data.keys():
            dic_data[num] += 1
        else:
            key = num
            value = 1
            dic_data[key] = value
    return dic_data
",100.0
98,Write a function to multiply all the numbers in a list and divide with the length of the list.,"
def multiply_num(numbers):
    total = 1
    for x in numbers:
        total *= x
    return total / len(numbers)
",100.0
104,Write a function to sort each sublist of strings in a given list of lists using lambda function.,"
def sort_sublists(input_list):
    result = [sorted(x) for x in input_list]
    return result
",100.0
102,Write a function to convert snake case string to camel case string.,"
def snake_to_camel(word):
    return ''.join(x.capitalize() for x in word.split('_'))
",100.0
103,"Write a function to find eulerian number a(n, m).","
def eulerian_num(n, m): 
    if m >= n or n == 0: 
        return 0 
    if m == 0: 
        return 1 
    return ((n - m) * eulerian_num(n - 1, m - 1) + (m + 1) * eulerian_num(n - 1, m))
",100.0
105,Write a python function to count true booleans in the given list.,"
def count(lst):
    return sum(lst)
",100.0
106,Write a function to add the given list to the given tuples.,"
def add_lists(test_list, test_tup):
    res = tuple(list(test_tup) + test_list)
    return res
",100.0
107,Write a python function to count hexadecimal numbers for a given range.,"
def count_Hexadecimal(L, R):
    count = 0
    for i in range(L, R + 1):
        if (i >= 10 and i <= 15):
            count += 1
        elif (i > 15):
            k = i
            while (k != 0):
                if (k % 16 >= 10):
                    count += 1
                k = k // 16
    return count
",100.0
108,Write a function to merge multiple sorted inputs into a single sorted iterator using heap queue algorithm.,"
import heapq

def merge_sorted_list(num1, num2, num3):
    num1 = sorted(num1)
    num2 = sorted(num2)
    num3 = sorted(num3)
    result = heapq.merge(num1, num2, num3)
    return list(result)
",100.0
109,Write a python function to find the count of rotations of a binary string with odd value.,"
def odd_Equivalent(s, n):
    count = 0
    for i in range(n):
        rotated_str = s[i:] + s[:i]
        if int(rotated_str, 2) % 2 == 1:
            count += 1
    return count
",100.0
121,Write a function to find the triplet with sum of the given array,"
def check_triplet(A, n, sum, count):
    if count == 3 and sum == 0:
        return True
    if count == 3 or n == 0 or sum < 0:
        return False
    return check_triplet(A, n - 1, sum - A[n - 1], count + 1) or check_triplet(A, n - 1, sum, count)
",100.0
101,Write a function to find the kth element in the given array.,"def kth_element(arr, n, k):
  for i in range(n):
    for j in range(0, n-i-1):
      if arr[j] > arr[j+1]:
        arr[j], arr[j+1] == arr[j+1], arr[j]
  return arr[k-1]",0.0
